pub_date,authors,title,venue,url_slug,paper_url,tag,code_url,extra_links,doi
2026-05-01,"Hanmei Yang, Jin Zhou, Yao Fu, Xiaoquan Wang, Ramine Roane, Hui Guan, Tongping Liu",ProTrain: Efficient LLM Training via Automatic Memory Management,"The 9th Annual Conference on Machine Learning and Systems (MLSys 2026), Bellevue, WA, May 18-22, 2026",mlsys26-protrain-efficient,https://arxiv.org/pdf/2406.08334,MLSys'26,,,
2026-11-01,"Mohammad Mehdi Rastikerdar, Jin Huang, Hui Guan, Deepak Ganesan",WildFiT: Autonomous In-situ Model Adaptation for Resource-Constrained IoT Systems,"ACM/IEEE International Conference on Embedded Artificial Intelligence and Sensing Systems, 2026",sensys26-wildfit-autonomous,,SenSys'26,,,
2026-04-01,"Kylie Lin, Hui Guan, David N Rapp, Cindy Xiong Bearfield",A Four-Stage Framework of Visual Complexity and Trust as Mediated by Effort,"IEEE Pacific Visualization Conference, 2026",pacificvis26-fourstage-framework,,PacificVis'26,,,
2026-03-01,"Kunjal Panchal, Saayan Mitra, Somdeb Sarkhel, Haoliang Wang, Ishita Dasgupta, Gang Wu, Hui Guan",Atom: Efficient On-Device Video-Language Pipelines Through Modular Reuse,"ACM Multimedia Systems Conference, 2026",mmsys26-atom-efficient,https://arxiv.org/pdf/2512.17108,MMSys'26,,,
2025-08-01,"Saurabh Bajaj, Hojae Son, Juelin Liu, Hui Guan, and Marco Serafini",Graph neural network training systems: A performance comparison of full-graph and mini-batch,"Proceedings of the VLDB Endowment, 2025",vldb25-graph-neural,https://arxiv.org/pdf/2406.00552,VLDB'25,,,
2025-07-01,"Lijun Zhang, Xiao Liu, Hui Guan",Reimagining Parameter Space Exploration with Diffusion Models,First Exploration in AI Today Workshop at ICML (EXAIT at ICML 2025),exaiticml25-reimagining-parameter,https://arxiv.org/pdf/2506.17807,EXAIT@ICML'25,,,
2025-06-01,"Lijun Zhang, Xiao Liu, Kaleel Mahmood, Caiwen Ding, and Hui Guan",Attacking all tasks at once using adversarial examples in multi-task learning,"Neurocomputing, 2025",neurocomputing25-attacking-all,https://www.sciencedirect.com/science/article/abs/pii/S0925231225021757?via%3Dihub,Neurocomputing'25,,,
2025-06-01,"Hanmei Yang, Summer Deng, Amit Nagpal, Maxim Naumov, Mohammad Janani, Tongping Liu, Hui Guan",An Empirical Study of Microscaling Formats for Low-Precision LLM Training,"32nd IEEE Symposium on Computer Arithmetic, Jun 23-25, 2025",arith25-empirical-study,https://www.computer.org/csdl/proceedings-article/arith/2025/215900a001/27Rt0ovaONW,ARITH'25,,,
2025-06-01,"Hui Guan, Umang Chaudhary, Yuanchao Xu, Lin Ning, Lijun Zhang, Xipeng Shen",Recurrent Neural Networks Meet Context-Free Grammar: Two Birds with One Stone,"ACM Transactions on Knowledge Discovery from Data, Volume 20, Issue 2, 2025",tkdd25-recurrent-neural,https://dl.acm.org/doi/10.1145/3785464,TKDD'25,,,
2025-05-01,"Sandeep Polisetty, Juelin Liu, Yi Fung, Seung-Hwan Lim, Hui Guan, Marco Serafini",SPA: Scaling Graph Neural Network Training on Large Graphs via Probablistic Splitting,"The Eighth Annual Conference on Machine Learning and Systems, Santa Clara, May 12-15, 2025 (Acceptance Rate = 22% (61/271))",mlsys25-spa-scaling,http://guanh01.github.io/files/2025gsplit.pdf,MLSys'25,,,
2025-05-01,"Sohaib Ahmad (co-first author), Qizheng Yang (co-first author), Haoliang Wang, Ramesh K. Sitaraman, and Hui Guan",DiffServe: Efficiently Serving Text-to-Image Diffusion Models with Query-Aware Model Scaling,"The Eighth Annual Conference on Machine Learning and Systems, Santa Clara, May 12-15, 2025. (Acceptance Rate = 22% (61/271))",mlsys25-diffserve-efficiently,https://arxiv.org/pdf/2411.15381,MLSys'25,,,
2025-05-01,"Kylie Lin, Sean Sheng-tse Ru, David N Rapp, Hui Guan, Cindy Xiong Bearfield",What Makes a Visualization Visually Complex?,"Extended Abstracts of the CHI Conference on Human Factors in Computing Systems, 2025",chiea25-what-makes,https://dl.acm.org/doi/abs/10.1145/3706599.3719983,CHI EA'25,,,
2024-12-01,"Jin Zhou, Hanmei Yang, Steven Jiaxun Tang, Mingcan Xiang, Hui Guan, Tongping Liu",Understanding and Alleviating Memory Issue in RLHF for LLMs,"NeurIPS'24 Workshop MLforSys, Dec 14, 2024, Vancouver",mlforsysneurips24-understanding-alleviating,https://openreview.net/pdf?id=Hldy0yDrr1,MLforSys@NeurIPS'24,,,
